what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1560837029327
java.specification.name,sysinfo,,,"Java Platform API Specification",1560837029327
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560837029327
java.specification.version,sysinfo,,,"1.6",1560837029327
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1560837029327
java.version,sysinfo,,,"1.6.0_23",1560837029327
java.vm.info,sysinfo,,,"mixed mode",1560837029327
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560837029327
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560837029327
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560837029327
java.vm.specification.version,sysinfo,,,"1.0",1560837029327
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1560837029327
java.vm.version,sysinfo,,,"19.0-b09",1560837029327
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560837036477
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1560837036947
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1560837037037
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1560837040539
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1560837040638
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1560837040644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837048404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837058440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837070819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837080226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837117320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837132463
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1560837139710
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1560837155283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837155916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837183859
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1560837183921
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1560837200856
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560837201001
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1560837202006
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1560837202008
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1560837202008
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1560837202008
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1560837202010
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1560837202010
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1560837202010
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1560837202011
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1560837202011
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1560837202013
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1560837202018
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1560837202023
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1560837202024
